"اسم الجدول","اسم العمود","نوع البيانات","يقبل قيمة فارغة؟","القيمة الافتراضية","نوع المفتاح/القيود","مرتبط بجدول","مرتبط بعمود"
"support_tickets","id","integer","NO","nextval('support_tickets_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"support_tickets","username","text","YES",NULL,"",NULL,NULL
"support_tickets","telegram_id","bigint","YES",NULL,"",NULL,NULL
"support_tickets","message","text","YES",NULL,"",NULL,NULL
"support_tickets","status","text","YES","'open'::text","",NULL,NULL
"support_tickets","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"traffic_sources","id","integer","NO","nextval('traffic_sources_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"traffic_sources","source_name","text","YES",NULL,"",NULL,NULL
"traffic_sources","visit_count","integer","YES","0","",NULL,NULL
"unavailable_codes_requests","id","integer","NO","nextval('unavailable_codes_requests_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"unavailable_codes_requests","user_id","bigint","YES",NULL,"",NULL,NULL
"unavailable_codes_requests","brand_name","text","YES",NULL,"",NULL,NULL
"unavailable_codes_requests","requested_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"unavailable_codes_requests","user_email","text","YES",NULL,"",NULL,NULL
"unavailable_codes_requests","master_id","integer","YES",NULL,"",NULL,NULL
"unavailable_codes_requests","name_en","text","YES",NULL,"",NULL,NULL
"user_preferences","user_id","bigint","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"user_preferences","preferred_categories","ARRAY","YES",NULL,"",NULL,NULL
"user_preferences","location_city","text","YES",NULL,"",NULL,NULL
"user_preferences","last_targeted_broadcast","timestamp without time zone","YES",NULL,"",NULL,NULL
"user_preferences","opt_in_notifications","boolean","YES","true","",NULL,NULL
"users_master","user_id","bigint","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"users_master","username","text","YES",NULL,"",NULL,NULL
"users_master","points","integer","YES","0","",NULL,NULL
"users_master","rank","text","YES",NULL,"",NULL,NULL
"users_master","main_interest","text","YES",NULL,"",NULL,NULL
"users_master","loyalty_score","integer","YES",NULL,"",NULL,NULL
"users_master","total_savings","double precision","YES","0","",NULL,NULL
"users_master","last_active","timestamp without time zone","YES",NULL,"",NULL,NULL
"users_master","birth_date","date","YES",NULL,"",NULL,NULL
"users_master","favorite_brands","ARRAY","YES",NULL,"",NULL,NULL
"users_master","meta_data","jsonb","YES",NULL,"",NULL,NULL
"users_master","name_en","text","YES",NULL,"",NULL,NULL
"web_users","id","bigint","NO","nextval('web_users_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"web_users","phone_number","text","NO",NULL,"",NULL,NULL
"web_users","firebase_uid","text","YES",NULL,"",NULL,NULL
"web_users","display_name","text","YES",NULL,"",NULL,NULL
"web_users","email","text","YES",NULL,"",NULL,NULL
"web_users","country","text","YES","'SA'::text","",NULL,NULL
"web_users","city","text","YES",NULL,"",NULL,NULL
"web_users","lang","text","YES","'ar'::text","",NULL,NULL
"web_users","created_at","timestamp without time zone","YES","now()","",NULL,NULL
"web_users","last_seen","timestamp without time zone","YES","now()","",NULL,NULL
"web_users","status","text","YES","'Active'::text","",NULL,NULL
"web_users","manual_favorites","ARRAY","YES","'{}'::text[]","",NULL,NULL
"web_users","copied_coupons_history","ARRAY","YES","'{}'::text[]","",NULL,NULL
"web_users","interests","ARRAY","YES","'{}'::text[]","",NULL,NULL
"web_users","visited_clicks","integer","YES","0","",NULL,NULL
"web_users","store_copy_count","integer","YES","0","",NULL,NULL
"web_users","device_type","text","YES",NULL,"",NULL,NULL
"web_users","user_agent","text","YES",NULL,"",NULL,NULL
"web_users","last_ip","inet","YES",NULL,"",NULL,NULL
"web_users","password_hash","text","YES",NULL,"",NULL,NULL
